Wormbase.ID,Sequence.ID,Category.1,Category.2,Category.3,Automated.Description
WBGene00010456,K01C8.1,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,K01C8.1 is predicted to have L-threonine ammonia-lyase activity.
WBGene00010492,K02B9.1,Development,Development: germline,Development: germline,meg-1 is involved in P granule disassembly and germ cell proliferation\; localizes to the P granule\; is expressed in the germline blastomere and the reproductive system.
WBGene00006351,K03A1.5,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"sur-5 is an ortholog of human AACS (acetoacetyl-CoA synthetase)\; is predicted to have ATP binding activity and acetoacetate-CoA ligase activity\; is expressed in several tissues, including the body wall musculature, the excretory cell, the hypodermis, the reproductive system, and the vulval precursor cell."
WBGene00003877,K04E7.2,Transmembrane transport,Transmembrane transport: amino acid,Transmembrane transport: amino acid,"pept-1 is an ortholog of human SLC15A1 (solute carrier family 15 member 1) and SLC15A2 (solute carrier family 15 member 2)\; exhibits dipeptide transmembrane transporter activity\; is involved in several processes, including determination of adult lifespan, ion homeostasis, and regulation of signal transduction\; localizes to the apical plasma membrane\; is expressed in the intestine\; is used to study obesity."
WBGene00019476,K07C11.3,Proteolysis general,Proteolysis general: metallopeptidase,Proteolysis general: metallopeptidase,"timp-1 is an ortholog of human TIMP3 (TIMP metallopeptidase inhibitor 3), TIMP4 (TIMP metallopeptidase inhibitor 4), and TIMP2 (TIMP metallopeptidase inhibitor 2)\; is predicted to have metalloendopeptidase inhibitor activity and metallopeptidase activity."
WBGene00010630,K07C5.7,Cytoskeleton,Cytoskeleton: microtubule,Cytoskeleton: microtubule: tubulin modification,ttll-15 is predicted to have ATP binding activity and ligase activity\; is involved in oviposition.
WBGene00001752,K08F4.7,Stress response,Stress response: oxidative,Stress response: oxidative,"gst-4 is an ortholog of human GSTA4 (glutathione S-transferase alpha 4), GSTA5 (glutathione S-transferase alpha 5), and HPGDS (hematopoietic prostaglandin D synthase)\; exhibits glutathione transferase activity\; is involved in glutathione metabolic process\; localizes to the contractile fiber\; is expressed in several tissues, including the hypodermis, the muscular system, the nervous system, the pharynx, and the reproductive system."
WBGene00010708,K09A11.5,Unassigned,Unassigned,Unassigned,phf-33 is predicted to have metal ion binding activity.
WBGene00010774,K11E4.2,Unassigned,Unassigned,Unassigned,"K11E4.2 is enriched in dopaminergic neurons and the intestine based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including dpy-10, elt-2, and pgl-1 based on microarray and RNA-seq studies\; is affected by six chemicals including stavudine, Zidovudine, and Cry5B based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: PH-like domain superfamily and SH2 domain superfamily."
WBGene00011006,R04B5.9,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,ugt-47 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have glucuronosyltransferase activity.
WBGene00011291,R102.4,Metabolism,Metabolism: amino acid,Metabolism: amino acid: synthesis,R102.4 is predicted to have lyase activity.
WBGene00011214,R10E9.2,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"R10E9.2 is enriched in the germ line, the male, and the nervous system based on proteomic, tiling array, and RNA-seq studies\; is affected by several genes including daf-2, age-1, and daf-12 based on microarray, RNA-seq, and proteomic studies\; is affected by seventeen chemicals including Ethanol, nicotinic acid, and methylmercuric chloride based on RNA-seq and microarray studies."
WBGene00011407,T04A8.5,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"ppat-1 is an ortholog of human PPAT (phosphoribosyl pyrophosphate amidotransferase)\; is predicted to have amidophosphoribosyltransferase activity, iron-sulfur cluster binding activity, and metal ion binding activity\; is expressed in the intestine."
WBGene00000696,T05A1.2,Extracellular material,Extracellular material: collagen,Extracellular material: collagen,col-122 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle.
WBGene00011561,T07C4.5,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"ttr-15 is enriched in the germline precursor cell, the hypodermis, and the intestine based on tiling array, proteomic, and microarray studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, proteomic, tiling array, and RNA-seq studies\; is affected by ten chemicals including 1-methylnicotinamide, Rotenone, and manganese chloride based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: Transthyretin-like and Transthyretin-like superfamily."
WBGene00011564,T07C5.1,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,"ugt-50 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have glucuronosyltransferase activity\; is expressed in the amphid sensillum, the head, the intestine, and the nervous system."
WBGene00020335,T08A9.2,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"ttr-30 is enriched in dopaminergic neurons, the hypodermis, and the intestine based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-2, daf-12, and let-7 based on microarray, tiling array, RNA-seq, and proteomic studies\; is affected by nine chemicals including Rotenone, juglone, and 4-bromodiphenyl ether based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: Transthyretin-like and Transthyretin-like superfamily."
WBGene00011706,T11B7.1,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"T11B7.1 is enriched in the intestine based on RNA-seq studies\; is affected by several genes including daf-16, rrf-3, and daf-12 based on microarray and RNA-seq studies\; is affected by eight chemicals including methylmercury hydroxide, methylmercuric chloride, and D-glucose based on RNA-seq and microarray studies."
WBGene00003539,T11F9.3,Proteolysis general,Proteolysis general: metallopeptidase,Proteolysis general: metallopeptidase,nas-20 is predicted to have metalloendopeptidase activity and zinc ion binding activity.
WBGene00001577,T12A7.1,Unassigned,Unassigned,Unassigned,"gem-4 is an ortholog of human CPNE5 (copine 5), CPNE8 (copine 8), and CPNE9 (copine 9)\; is expressed in several tissues, including the alimentary system, the hmc, the reproductive system, and the somatic gonad precursor\; is predicted to encode a protein with the following domains: C2 domain, von Willebrand factor, type A, Copine, C2 domain superfamily, and von Willebrand factor A-like domain superfamily."
WBGene00011737,T12G3.1,Signaling,Signaling: unassigned,Signaling: unassigned,"sqst-1 is an ortholog of human SQSTM1 (sequestosome 1)\; is predicted to have zinc ion binding activity\; localizes to the cytoplasm\; is expressed in several tissues, including the hypodermal cell, the intestine, the muscular system, the nervous system, and the reproductive system."
WBGene00020509,T14F9.3,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"hex-1 is an ortholog of human HEXA (hexosaminidase subunit alpha) and HEXB (hexosaminidase subunit beta)\; exhibits beta-N-acetylhexosaminidase activity\; is involved in carbohydrate metabolic process\; is expressed in several tissues, including the alimentary system, the coelomocyte, the muscular system, and the nervous system\; human orthologs of this gene are implicated in Sandhoff disease and Tay-Sachs disease."
WBGene00011774,T14G10.4,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"ttr-54 is enriched in the germ line, the muscular system, the nervous system, and the pharynx based on microarray, tiling array, and RNA-seq studies\; is affected by several genes including let-60, daf-12, and eat-2 based on microarray, tiling array, and RNA-seq studies\; is affected by six chemicals including Rotenone, stavudine, and Zidovudine based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: Transthyretin-like and Transthyretin-like superfamily."
WBGene00011773,T14G10.3,Unassigned,Unassigned,Unassigned: TransThyretin-Related family domain,"ttr-53 is enriched in the germline precursor cell and the intestine based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including gld-1, hsf-1, and sir-2.1 based on microarray, RNA-seq, and tiling array studies\; is affected by Rotenone, Progesterone, and resveratrol based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: Transthyretin-like and Transthyretin-like superfamily."
WBGene00011803,T16G12.1,Proteolysis general,Proteolysis general: metallopeptidase,Proteolysis general: metallopeptidase,"T16G12.1 is an ortholog of human LNPEP, ERAP1, and ERAP2\; is predicted to have aminopeptidase activity, metallopeptidase activity, and zinc ion binding activity\; is involved in embryo development, regulation of meiotic cell cycle process involved in oocyte maturation, and regulation of oviposition."
WBGene00011831,T19B10.2,Unassigned,Unassigned,Unassigned,T19B10.2 is expressed in the hypodermis.
WBGene00011893,T21C9.6,Signaling,Signaling: unassigned,Signaling: unassigned,T21C9.6 is predicted to have ATP binding activity and kinase activity.
WBGene00004001,T21E8.2,Transmembrane transport,Transmembrane transport: ABC,Transmembrane transport: ABC,"pgp-7 is an ortholog of human ABCB4 (ATP binding cassette subfamily B member 4), ABCB11 (ATP binding cassette subfamily B member 11), and ABCB1\; is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is involved in stress response to cadmium ion\; is expressed in the intestine and the tail."
WBGene00012007,T25B9.1,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,T25B9.1 is an ortholog of human GCAT\; is predicted to have glycine C-acetyltransferase activity and pyridoxal phosphate binding activity.
WBGene00020813,T25G12.6,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"T25G12.6 is enriched in the intestine based on RNA-seq studies\; is affected by several genes including daf-2, glp-1, and let-7 based on proteomic, RNA-seq, and microarray studies\; is affected by four chemicals including nicotine, stavudine, and Cry5B based on proteomic, RNA-seq, and microarray studies\; is predicted to encode a protein with the following domains: von Willebrand factor, type A and von Willebrand factor A-like domain superfamily."
WBGene00020847,T27A10.7,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,cgr-1 localizes to the cytoplasm\; is expressed in the intestine.
WBGene00017262,F08F3.4,Stress response,Stress response: pathogen,Stress response: pathogen: unassigned,F08F3.4 is predicted to have catalytic activity and coenzyme binding activity\; is involved in innate immune response.
WBGene00017772,F25B4.9,Stress response,Stress response: C-type Lectin,Stress response: C-type Lectin,"clec-1 is an ortholog of human CLEC4A, CLEC4C, and CD209 and members of the human CLEC (C-type lectin domain containing) gene family including CLEC6A and CLEC4E\; is predicted to have carbohydrate binding activity."
